Date : 2022-04-19 22:59:20
Directory : ./
Total : 109 files,  31085 codes, 83 comments, 827 blanks, all 31995 lines, 0.27% comment rate

Languages
+------------------+------------+------------+------------+------------+------------+--------------+
| language         | files      | code       | comment    | blank      | total      | comment rate |
| backend\app\enums\setting.py                           | Python           |          5 |          0 |          3 |          8 |        0.00% |
| backend\app\hardware\__init__.py                       | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\app\hardware\camera\__init__.py                | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\app\hardware\camera\config.json                | JSON             |         94 |          0 |          0 |         94 |        0.00% |
| backend\app\hardware\camera\filter.py                  | Python           |         22 |          0 |         12 |         34 |        0.00% |
| backend\app\hardware\camera\reader.py                  | Python           |         72 |          0 |         32 |        104 |        0.00% |
| backend\app\hardware\plc\__init__.py                   | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\app\hardware\plc\reader.py                     | Python           |         32 |          0 |          8 |         40 |        0.00% |
| backend\app\main.py                                    | Python           |         57 |          0 |         30 |         87 |        0.00% |
| backend\app\manager.py                                 | Python           |         13 |          0 |          5 |         18 |        0.00% |
| backend\app\models\__init__.py                         | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\app\models\plc.py                              | Python           |         19 |          0 |         14 |         33 |        0.00% |
| backend\app\models\plc_block.py                        | Python           |         30 |          0 |         13 |         43 |        0.00% |
| backend\app\models\position.py                         | Python           |         26 |          0 |         15 |         41 |        0.00% |
| backend\app\models\product.py                          | Python           |         25 |          0 |         12 |         37 |        0.00% |
| backend\app\models\region.py                           | Python           |         23 |          0 |         15 |         38 |        0.00% |
| backend\app\models\result.py                           | Python           |         20 |          0 |         13 |         33 |        0.00% |
| backend\app\models\setting.py                          | Python           |         18 |          0 |         11 |         29 |        0.00% |
| backend\app\processing\__init__.py                     | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\app\processing\clustering\__init__.py          | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\app\processing\clustering\dbscan.py            | Python           |         17 |          0 |          8 |         25 |        0.00% |
| backend\app\processing\pipeline.py                     | Python           |         19 |          3 |         11 |         33 |       13.64% |
| backend\app\processing\preprocessing.py                | Python           |         13 |          0 |          8 |         21 |        0.00% |
| backend\app\processing\segmentation\__init__.py        | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\app\processing\segmentation\ransac.py          | Python           |         22 |          0 |         12 |         34 |        0.00% |
| backend\app\processing\utils.py                        | Python           |         37 |          0 |         14 |         51 |        0.00% |
| backend\app\services\__init__.py                       | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\app\services\camera.py                         | Python           |         63 |          0 |         29 |         92 |        0.00% |
| backend\app\services\detection.py                      | Python           |         24 |          0 |         13 |         37 |        0.00% |
| backend\app\services\product.py                        | Python           |          8 |          0 |          5 |         13 |        0.00% |
| backend\app\services\region.py                         | Python           |         36 |          0 |         15 |         51 |        0.00% |
| backend\app\services\settings.py                       | Python           |         23 |          0 |          9 |         32 |        0.00% |
| backend\app\services\visualization.py                  | Python           |         65 |          0 |         30 |         95 |        0.00% |
| backend\env-win.yml                                    | YAML             |        130 |          0 |          1 |        131 |        0.00% |
| backend\migrations\env.py                              | Python           |         47 |         32 |         22 |        101 |       40.51% |
| backend\migrations\versions\27705b5b86ff_init.py       | Python           |         11 |         12 |          6 |         29 |       52.17% |
| backend\requirements.txt                               | pip requirements |         11 |          1 |          2 |         14 |        8.33% |
| backend\tests\__init__.py                              | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\tests\api\__init__.py                          | Python           |          0 |          0 |          1 |          1 |        0.00% |
| backend\tests\api\test_setting.py                      | Python           |          7 |          0 |          3 |         10 |        0.00% |
| backend\tests\conftest.py                              | Python           |          7 |          0 |          3 |         10 |        0.00% |
| docker-compose.yml                                     | YAML             |         26 |          0 |          3 |         29 |        0.00% |
| frontend\.dockerignore                                 | Ignore           |          7 |          0 |          1 |          8 |        0.00% |
| frontend\Dockerfile                                    | Docker           |         10 |          0 |          7 |         17 |        0.00% |
| frontend\README.md                                     | Markdown         |         38 |          0 |         33 |         71 |        0.00% |
| frontend\package-lock.json                             | JSON             |     28,661 |          0 |          1 |     28,662 |        0.00% |
| frontend\package.json                                  | JSON             |         43 |          0 |          0 |         43 |        0.00% |
| frontend\public\index.html                             | HTML             |         20 |         23 |          1 |         44 |       53.49% |
| frontend\public\manifest.json                          | JSON             |         25 |          0 |          1 |         26 |        0.00% |
| frontend\src\App.css                                   | CSS              |         33 |          0 |          6 |         39 |        0.00% |
| frontend\src\App.js                                    | JavaScript       |         21 |          0 |          6 |         27 |        0.00% |
| frontend\src\components\Buttons\CameraButton.js        | JavaScript       |         21 |          0 |          6 |         27 |        0.00% |
| frontend\src\components\Buttons\TriggerButton.js       | JavaScript       |         21 |          0 |          6 |         27 |        0.00% |
| frontend\src\components\Connection\ConnectionButton.js | JavaScript       |         23 |          0 |          6 |         29 |        0.00% |
| frontend\src\components\Connection\ConnectionState.css | CSS              |          3 |          0 |          1 |          4 |        0.00% |
| frontend\src\components\Connection\ConnectionState.js  | JavaScript       |         38 |          2 |         10 |         50 |        5.00% |
| frontend\src\components\Setting\SettingGrid.js         | JavaScript       |         28 |          3 |          9 |         40 |        9.68% |
| frontend\src\components\Setting\SettingItem.js         | JavaScript       |         33 |          0 |          8 |         41 |        0.00% |
| frontend\src\constants\events.js                       | JavaScript       |          7 |          0 |          2 |          9 |        0.00% |
| frontend\src\context\socket.js                         | JavaScript       |          5 |          1 |          3 |          9 |       16.67% |
| frontend\src\index.css                                 | CSS              |         12 |          0 |          2 |         14 |        0.00% |
| frontend\src\index.js                                  | JavaScript       |         10 |          0 |          1 |         11 |        0.00% |
| Total                                                  |                  |     31,085 |         83 |        827 |     31,995 |        0.27% |
+--------------------------------------------------------+------------------+------------+------------+------------+------------+--------------+
